Key,Value
Q,82
D,45
L,80
C,93
G,25
W,62
S,0
H,47
J,73
Q,13
W,4
S,74
A,81
B,32
T,68
X,84
A,12
W,82
Y,38
R,53
U,58
D,26
R,4
N,22
W,41
P,60
P,63
B,63
P,34
F,9
J,58
J,92
C,60
Y,35
M,43
R,81
E,24
E,74
G,9
D,74
U,64
W,41
H,80
R,0
S,69
R,38
Z,69
T,66
N,6
L,26
N,76
B,19
V,59
Q,88
B,12
H,0
O,97
S,35
F,2
K,28
U,79
W,22
Y,5
F,0
B,68
O,60
U,54
C,15
U,9
H,53
S,17
S,65
T,27
H,50
G,37
F,40
L,84
V,95
E,61
D,86
J,27
H,93
Q,54
K,8
I,96
P,96
R,37
S,34
X,21
A,55
J,87
O,21
F,22
W,23
W,61
B,37
T,92
B,32
C,99
E,93
Y,81
U,22
V,47
W,57
G,89
I,18
M,77
A,25
Q,11
Y,32
M,95
G,86
E,69
N,15
K,26
V,61
W,58
O,72
C,36
Z,42
P,55
N,94
V,12
G,33
O,88
R,76
Z,21
A,80
G,75
C,53
Q,76
C,42
S,15
C,14
S,16
M,26
V,80
N,48
S,96
Q,35
B,15
P,43
T,69
Z,54
T,85
Y,58
M,16
C,24
M,62
P,7
S,38
N,95
Y,56
Q,19
E,21
A,42
O,49
C,47
H,10
P,28
W,45
G,61
Y,83
N,40
L,6
D,36
L,42
H,63
P,25
M,95
X,54
H,51
Y,83
V,48
W,64
O,25
M,89
E,56
P,46
C,84
V,1
C,60
E,96
I,78
C,74
E,17
Z,65
V,38
T,31
M,68
V,57
H,87
G,99
V,88
Y,68
S,21
J,38
V,1
D,43
F,58
Q,34
W,46
A,85
X,69
R,1
F,71
W,37
S,7
W,80
R,6
O,6
A,48
T,37
K,14
K,47
D,98
S,96
X,13
P,74
B,63
G,29
U,24
T,42
B,96
W,50
W,43
F,26
H,53
J,86
N,33
Q,61
O,30
S,21
V,53
Q,26
O,76
C,45
T,18
H,30
Y,52
R,99
Y,74
C,13
P,30
H,13
K,54
F,23
H,97
Q,9
K,39
F,72
Y,9
M,74
Q,65
L,56
F,96
Q,48
X,40
U,2
V,20
Q,85
U,100
H,64
J,72
G,14
N,56
S,12
J,73
U,26
Z,22
B,100
L,85
F,93
C,74
W,27
N,63
L,61
I,95
B,88
M,43
R,77
Y,20
H,38
E,35
F,39
B,44
T,66
Y,53
E,85
H,33
R,57
U,59
S,15
X,84
R,67
X,38
G,39
W,95
T,54
A,61
X,61
J,43
K,48
Y,16
N,34
K,23
N,87
C,100
G,93
A,77
S,6
R,60
S,50
P,54
L,2
S,73
P,74
H,48
N,28
R,87
L,14
D,74
X,24
V,78
H,17
P,63
P,52
P,94
R,19
E,77
D,84
H,48
A,24
B,90
G,4
D,80
P,41
K,17
R,13
C,39
X,98
W,3
M,1
L,92
L,0
G,8
T,59
E,78
N,85
A,40
Q,45
E,64
I,17
R,39
Z,25
H,5
P,33
X,36
K,1
T,13
I,49
D,67
M,56
C,12
Z,55
Z,31
A,25
E,44
Q,46
J,44
L,30
U,8
R,21
X,69
N,17
C,52
P,51
U,70
U,63
C,12
F,99
G,62
A,81
F,7
I,22
P,32
C,16
K,93
I,63
H,25
R,71
Z,31
C,55
V,24
L,11
W,20
H,87
T,38
B,48
W,5
Q,2
L,54
I,34
O,18
L,32
Z,47
Y,77
X,42
O,96
S,48
Q,87
T,52
R,83
W,67
X,13
R,34
X,27
E,80
Q,28
U,1
B,55
B,95
M,27
C,53
W,7
Y,49
D,81
Z,18
R,68
G,68
J,68
G,83
S,32
S,81
D,40
M,54
A,38
U,82
X,64
G,4
Y,53
H,8
L,82
E,73
K,16
S,5
Y,15
C,86
G,8
Q,34
H,76
V,6
H,58
K,79
O,32
R,22
B,60
W,11
V,11
E,85
O,56
H,59
F,100
I,68
P,79
G,8
M,55
C,93
U,2
D,96
G,2
S,53
P,36
O,27
E,32
Y,92
Y,46
L,96
A,87
C,27
B,17
T,29
F,97
G,39
S,3
B,36
K,43
Z,27
E,85
T,35
R,83
L,90
S,42
Q,36
E,55
D,36
B,92
K,85
X,15
C,11
T,87
H,36
L,18
B,32
N,71
Y,54
J,85
Y,49
R,69
G,54
W,54
J,67
X,47
A,71
M,50
Q,49
R,69
X,19
X,18
H,53
U,60
V,24
K,49
A,7
K,93
V,40
D,61
M,17
O,56
L,28
C,100
N,41
Q,62
I,1
W,82
L,49
A,3
V,76
V,29
T,72
H,60
V,93
G,59
C,51
Q,62
Z,62
W,46
L,25
P,20
I,28
B,10
Y,75
Q,90
P,83
R,45
U,31
X,2
G,60
K,13
I,92
F,5
H,92
P,39
U,45
C,4
G,89
S,96
C,43
J,53
D,45
I,66
W,23
B,58
K,28
K,76
E,54
C,79
E,86
G,25
F,19
H,79
K,11
L,68
U,96
L,49
X,15
R,20
H,31
M,71
J,90
F,2
K,83
F,9
X,27
K,42
P,64
F,15
C,34
D,45
U,87
Y,66
Y,54
O,72
R,29
I,81
C,30
E,84
L,87
L,79
K,71
T,74
F,62
H,23
Z,76
W,67
Z,70
P,27
A,81
B,20
O,9
U,81
C,63
R,36
I,50
L,36
P,3
K,8
X,85
F,27
A,99
J,95
M,28
F,29
K,83
O,37
S,72
H,49
X,16
E,46
O,90
X,96
U,22
C,41
F,39
Z,47
T,79
U,6
H,51
I,54
K,85
R,88
B,18
A,71
J,22
G,66
O,16
W,38
E,31
C,28
V,89
X,99
R,99
S,78
H,4
L,81
F,68
O,32
K,90
Q,8
E,47
F,61
Z,97
D,10
M,9
P,6
T,1
A,45
W,63
L,81
T,25
E,85
N,29
W,50
A,6
U,60
M,8
D,87
F,71
U,30
V,91
H,80
N,70
H,32
F,82
U,45
F,72
Y,68
B,88
G,49
U,38
X,11
N,79
W,75
M,27
L,64
S,25
Z,7
P,65
L,97
P,81
Z,2
K,47
Y,89
V,74
L,82
A,12
D,21
N,38
H,38
L,98
Q,63
X,18
I,22
D,10
Q,54
G,63
W,100
A,38
H,49
A,79
H,42
H,38
I,9
J,0
C,58
Z,76
Y,34
D,75
V,67
H,56
N,61
Q,27
Q,10
C,35
D,60
J,9
D,96
U,69
P,50
P,64
N,77
W,0
V,0
D,40
W,32
N,17
L,99
W,78
Z,76
R,53
J,63
T,27
G,95
Z,8
C,24
G,69
B,8
I,27
S,77
H,13
E,32
S,51
Q,80
L,50
V,41
N,9
N,88
P,81
X,65
W,44
P,89
D,97
R,84
R,34
X,28
J,41
R,35
O,64
Q,94
X,40
P,63
J,82
S,95
Q,48
Y,7
W,57
I,32
V,39
C,13
A,92
E,95
R,23
F,97
O,7
V,81
U,97
Y,68
O,79
A,32
I,95
P,19
E,79
Q,41
E,100
D,36
P,46
U,23
X,99
P,60
J,6
L,98
P,100
N,79
I,14
R,29
R,99
B,16
P,79
B,92
I,16
B,60
S,77
E,91
N,29
T,8
H,62
L,60
A,24
W,56
C,0
O,98
W,71
X,53
C,93
V,98
A,50
U,23
D,92
Y,22
E,94
J,33
C,80
C,14
S,97
C,79
Q,39
S,14
H,20
B,12
Q,13
X,92
V,70
E,22
Z,26
D,41
M,64
B,69
O,45
M,69
E,79
B,18
H,86
T,36
K,47
B,12
S,81
P,7
W,81
J,50
G,21
U,88
T,16
W,61
D,74
T,63
O,48
B,30
T,57
P,12
I,73
Q,81
L,78
N,2
Q,42
W,77
F,69
R,22
R,5
Y,72
D,9
P,10
T,78
F,87
U,83
E,70
D,3
T,92
O,44
M,9
W,27
L,23
W,51
R,23
F,79
M,43
L,48
J,20
Q,83
H,49
E,77
W,25
E,11
V,51
C,7
A,66
Q,89
J,56
Y,55
W,19
C,51
T,84
I,25
R,20
L,12
F,33
D,11
A,24
D,84
R,75
J,24
F,4
U,70
J,28
N,31
N,64
F,96
C,71
K,37
N,34
W,80
K,24
N,49
M,50
F,43
E,71
C,16
T,9
B,86
D,50
B,52
M,48
H,16
Y,75
W,31
Z,10
T,22
X,55
T,30
Y,72
F,1
V,32
L,82
C,17
N,9
V,38
Q,65
I,26
A,16
M,95
O,16
E,61
Q,1
O,44
V,16
P,21
Y,49
X,45
J,43
G,60
H,29
O,84
Y,81
Z,76
T,98
O,67
V,59
V,2
X,43
J,93
D,14
